Serial Number,Question,A,B,C,D,Answer,Answer,Appropriateness,Difficulty,Check,Notes,Overall Topic A,Sub Topic A,Overall Topic B,Sub Topic B,Overall Topic C,Sub Topic C,Overall Topic D,Sub Topic D,Overall Topic E,Sub Topic E,Combined Topics,Combined Sub Topics,Hint,Explanation,,,Old Question,Old A,Old B,Old C,Old D
Q000001,What is the remainder on dividing the polynomial \(2x^4 + 5x^3 - 3x^2 + 6\) by \(x + 1\)?,\(-3\),\(0\),\(3\),\(5\),B,B,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 2x^4 + 5x^3 - 3x^2 + 6 by x+1?,-3,0,3,5
Q000002,What is the remainder on dividing the polynomial \(x^5 - 2x^4 + 3x^3 + 6x^2 + 5x - 10\) by \(x-2\)?,\(-42\),\(-58\),\(-22\),\(48\),D,D,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial x^5 - 2x^4 + 3x^3 + 6x^2 + 5x - 10 by x-2?,-42,-58,-22,48
Q000003,What is the remainder on dividing the polynomial \(3x^3 - 2x^2 + 4x + 7\) by \(x+3\)?,\(-70\),\(-104\),\(-1\),\(1\),B,B,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 3x^3 - 2x^2 + 4x + 7 by x+3?,-70,-104,-1,1
Q000004,What is the remainder on dividing the polynomial \(4x^4 - 6x^2 + 2x + 8\) by \(2x-4\)?,\(52\),\(-80\),\(72\),\(-72\),A,A,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 4x^4 - 6x^2 + 2x + 8 by 2x-4?,52,-80,72,-72
Q000005,What is the remainder on dividing the polynomial \(2x^6 + 5x^5 + 7x^4+45\) by \(x^2 - 3x + 2\)?,\(386x-327\),\(396x-327\),\(400x+327\),\(490x+327\),A,A,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 2x^6 + 5x^5 + 7x^4+45 by x^2 - 3x + 2?,386x-327,396x-327,400x+327,490x+327
Q000006,What is the remainder on dividing the polynomial \(6x^3 + 9x^2 - 3x - 15\) by \(x-5\)?,\(-195\),\(195\),\(945\),\(105\),C,C,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 6x^3 + 9x^2 - 3x - 15 by x-5?,-195,195,945,105
Q000007,What is the remainder on dividing the polynomial \(x^4 - 5x^3 - 3x^2 + 9x + 14\) by \(x+2\)?,\(40\),\(18\),\(22\),\(8\),A,A,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial x^4 - 5x^3 - 3x^2 + 9x + 14 by x+2?,40,18,22,8
Q000008,What is the remainder on dividing the polynomial \(4x^5 + 3x^3 - 2x^2 + 6\) by \(x-1\)?,\(11\),\(5\),\(13\),\(9\),A,A,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 4x^5 + 3x^3 - 2x^2 + 6 by x-1?,11,5,13,9
Q000009,What is the remainder on dividing the polynomial \(7x^4 - 4x^3 - 2x^2 + 6x - 10\) by \(x+3\)?,\(260\),\(629\),\(298\),\(226\),B,B,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 7x^4 - 4x^3 - 2x^2 + 6x - 10 by x+3?,260,629,298,226
Q000010,What is the remainder on dividing the polynomial \(3x^6 - 4x^4 + 6x^2 - 7\) by \(x^2 + 1\)?,\(-4\),\(4\),\(-20\),\(-2\),C,C,6,5,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 3x^6 - 4x^4 + 6x^2 - 7 by x^2 + 1?,-4,4,-20,-2
